"report_date","asin","cost","clicks","impressions"
"2021-05-22",NULL,2.41,6,1627
"2021-05-22",NULL,2.04,4,646
"2021-05-23",NULL,7.08,12,1024
"2021-05-23",NULL,4.24,8,2190
"2021-05-23",NULL,1.37,2,555
"2021-05-24",NULL,6.49,10,1214
"2021-05-24",NULL,4.56,11,2255
"2021-05-24",NULL,0.58,2,531
"2021-05-25",NULL,3.52,5,873
"2021-05-25",NULL,2.46,8,1640
"2021-05-25",NULL,0.37,1,517
"2021-05-26",NULL,3.4,6,912
"2021-05-26",NULL,0.87,3,1477
"2021-05-26",NULL,1.21,2,425
"2021-05-27",NULL,10.47,13,894
"2021-05-27",NULL,2.12,6,1247
"2021-05-27",NULL,1.47,2,491
"2021-05-28",NULL,4.53,7,975
"2021-05-28",NULL,2.12,5,1118
"2021-05-28",NULL,0.52,1,521
"2021-05-29",NULL,1.62,3,938
"2021-05-29",NULL,0.45,3,1003
"2021-05-29",NULL,0.93,2,321
"2021-05-30",NULL,1.62,2,951
"2021-05-30",NULL,0.97,5,1035
"2021-05-30",NULL,1.74,3,318
"2021-05-31",NULL,5.35,8,952
"2021-05-31",NULL,2.39,5,1213
"2021-05-31",NULL,0.53,1,396
"2021-06-01",NULL,5.09,8,917
"2021-06-01",NULL,3.61,7,1346
"2021-06-02",NULL,3.43,5,1027
"2021-06-02",NULL,4.67,10,1546
"2021-06-02",NULL,3.0,3,546
"2021-06-03",NULL,6.78,7,949
"2021-06-03",NULL,3.2,8,1290
"2021-06-04",NULL,3.44,6,907
"2021-06-04",NULL,1.65,3,1498
"2021-06-04",NULL,0.81,1,434
"2021-06-05",NULL,6.14,10,1011
"2021-06-05",NULL,2.48,6,1460
"2021-06-05",NULL,0.84,1,346
"2021-06-06",NULL,7.1,11,959
"2021-06-06",NULL,2.13,6,1598
"2021-06-07",NULL,4.38,7,614
"2021-06-07",NULL,1.87,3,890
"2021-06-07",NULL,0.34,1,273
"2021-06-10",NULL,0.39,1,171
"2021-06-11",NULL,4.24,12,623
"2021-06-12",NULL,4.52,11,599
"2021-06-12",NULL,0.0,0,0
"2021-06-12",NULL,0.1,1,20
"2021-06-13",NULL,1.86,4,730
"2021-06-13",NULL,0.0,0,0
"2021-06-13",NULL,0.3,3,45
"2021-06-14",NULL,2.2,9,863
"2021-06-14",NULL,0.31,1,2
"2021-06-14",NULL,0.1,1,43
"2021-06-15",NULL,1.88,7,772
"2021-06-15",NULL,0.31,2,83
"2021-06-16",NULL,1.79,7,664
"2021-06-16",NULL,0.21,1,104
"2021-06-17",NULL,1.28,4,789
"2021-06-17",NULL,0.44,1,102
"2021-06-18",NULL,2.12,8,928
"2021-06-18",NULL,0.0,0,87
"2021-06-19",NULL,1.5,7,1022
"2021-06-20",NULL,3.66,13,1650
"2021-06-20",NULL,0.14,1,169
"2021-06-21",NULL,9.52,31,2645
"2021-06-21",NULL,0.78,4,207
"2021-06-22",NULL,9.3,19,2260
"2021-06-22",NULL,0.99,2,163
"2021-06-23",NULL,1.19,4,1314
"2021-06-23",NULL,0.38,1,137
"2021-06-24",NULL,3.24,10,317
"2021-06-24",NULL,0.57,1,120
"2021-06-25",NULL,2.69,7,1034
"2021-06-25",NULL,0.51,4,99
"2021-06-26",NULL,2.7,7,1002
"2021-06-27",NULL,3.03,11,1341
"2021-06-27",NULL,0.0,0,78
"2021-06-28",NULL,2.9,9,1258
"2021-06-28",NULL,0.77,2,80
"2021-06-29",NULL,2.24,7,1111
"2021-06-30",NULL,2.73,7,1186
"2021-07-01",NULL,4.89,12,1164
"2021-07-01",NULL,0.1,1,69
"2021-07-02",NULL,2.01,4,1044
"2021-07-02",NULL,1.48,3,59
"2021-07-03",NULL,1.36,3,826
"2021-07-04",NULL,4.48,10,920
"2021-07-05",NULL,3.02,9,919
"2021-07-06",NULL,3.39,7,1058
"2021-07-06",NULL,0.46,1,121
"2021-07-07",NULL,2.75,6,1025
"2021-07-07",NULL,0.1,1,143
"2021-07-08",NULL,4.9,11,1045
"2021-07-09",NULL,3.79,9,842
"2021-07-10",NULL,2.25,4,927
"2021-07-10",NULL,0.46,1,125
"2021-07-11",NULL,4.44,10,1259
"2021-07-11",NULL,0.64,1,139
"2021-07-12",NULL,5.97,9,1223
"2021-07-13",NULL,4.08,7,1034
"2021-07-13",NULL,0.25,1,79
"2021-07-14",NULL,3.1,8,1308
"2021-07-15",NULL,4.2,10,1044
"2021-07-16",NULL,2.36,6,983
"2021-07-16",NULL,0.25,1,127
"2021-07-17",NULL,1.33,4,896
"2021-07-18",NULL,4.89,10,1105
"2021-07-19",NULL,1.0,3,1127
"2021-07-20",NULL,2.81,5,1030
"2021-07-21",NULL,6.76,14,992
"2021-07-21",NULL,0.14,1,22
"2021-07-22",NULL,3.68,9,904
"2021-07-23",NULL,2.59,4,805
"2021-07-24",NULL,5.75,15,1041
"2021-07-24",NULL,0.22,1,25
