"Date","ASIN","Product Title","Ordered Revenue","Ordered Units","Glance Views","Conversion Rate"
"2022-03-02","C07CYSL86Y","Erb - Matte Crème - Base de Teint Matifiante 5-en-1 - Effet Flouté - 15ml","58.95",7,64,"0.13"
"2021-12-26","C00QFK1JGS","Korean BB Cream Baby Skin Effect SPF20, Nude, 45 ml","0.00",0,0,NULL
"2021-12-27","C00QFK1JGS","Korean BB Cream Baby Skin Effect SPF20, Nude, 45 ml","42.70",2,31,"0.10"
"2022-03-03","C07CYSL86Y","Erb - Matte Crème - Base de Teint Matifiante 5-en-1 - Effet Flouté - 15ml","67.15",8,71,"0.07"
"2021-12-26","C00SYLGPT2","Korean BB Cream Baby Skin Effect SPF20 - Nude, 15 ml","113.04",12,59,"0.08"
"2021-12-27","C00SYLGPT2","Korean BB Cream Baby Skin Effect SPF20 - Nude, 15 ml","66.85",7,75,"0.08"
"2022-03-04","C07CYSL86Y","Erb - Matte Crème - Base de Teint Matifiante 5-en-1 - Effet Flouté - 15ml","41.00",5,88,"0.09"
"2021-12-26","C00SYLH424","CC Cream Doré - Skin Perfector Tinted Moisturiser  Fair Shade, 15 ml","21.91",1,31,"0.10"
"2021-12-27","C00SYLH424","CC Cream Doré - Skin Perfector Tinted Moisturiser  Fair Shade, 15 ml","43.82",2,41,"0.05"
"2021-08-24","C0744JNNH8","Erb Touch Pen, Sculpteur et Perfecteur de Teint à Embout Mousse Doré, 5 ml","0.00",0,0,NULL
"2021-12-26","C00VW4SYQ0","Korean BB Cream Baby Skin Effect SPF20 - Clair, 15 ml","28.65",3,44,"0.07"
"2021-12-27","C00VW4SYQ0","Korean BB Cream Baby Skin Effect SPF20 - Clair, 15 ml","38.20",4,80,"0.10"
"2022-02-27","C07DRM7X3D","Erb - Bamboo Matte - Crème Effet Poudré - Soin de la Peau Coréen - 30ml","11.00",1,42,"0.05"
"2021-12-27","C00WNYPKRY","Erb Green Tea Konjac Gentle Exfoliating Sponge","0.00",0,0,"0.00"
"2021-12-26","C00WPABW5A","Korean CC Cream Skin Perfector SPF25 - Clair, 45 ml","87.64",4,33,"0.09"
"2021-12-27","C00WPABW5A","Korean CC Cream Skin Perfector SPF25 - Clair, 45 ml","21.91",1,41,"0.17"
"2022-02-28","C07DRM7X3D","Erb - Bamboo Matte - Crème Effet Poudré - Soin de la Peau Coréen - 30ml","22.00",2,29,"0.14"
"2021-12-27","C0158P2ZFE","Bamboo Cream Frappée - Skin Reviving Fresh Gel - 50ml","0.00",0,0,"0.00"
"2021-12-26","C01BVVG2XK","Erb Bamboo Eye Contour Gel Matte-Effect, 15 ml 6AA10138","0.00",0,0,NULL
"2022-03-01","C07DRM7X3D","Erb - Bamboo Matte - Crème Effet Poudré - Soin de la Peau Coréen - 30ml","55.00",5,20,"0.10"
"2021-12-26","C01E7MV4ZQ","Korean CC Cream Skin Perfector SPF25 - Clair, 15 ml","70.79",7,114,"0.09"
"2021-12-27","C01E7MV4ZQ","Korean CC Cream Skin Perfector SPF25 - Clair, 15 ml","182.02",18,129,"0.11"
"2022-03-02","C07DRM7X3D","Erb - Bamboo Matte - Crème Effet Poudré - Soin de la Peau Coréen - 30ml","25.15",2,38,"0.05"
"2022-03-03","C07DRM7X3D","Erb - Bamboo Matte - Crème Effet Poudré - Soin de la Peau Coréen - 30ml","44.00",4,36,"0.08"
"2021-12-27","C01II6OHW4","Erb Blanc de Shot Glow Sheet Mask, 15 g","0.00",0,NULL,NULL
"2022-03-04","C07DRM7X3D","Erb - Bamboo Matte - Crème Effet Poudré - Soin de la Peau Coréen - 30ml","11.00",1,36,"0.00"
"2021-12-26","C01II6OLTI","Erb Ginseng Shot Smoothing Sheet Mask, 15 g","0.00",0,0,NULL
"2021-12-26","C01LCYB3SK","Erb Yuza Double Lotion 190ml","0.00",0,3,"0.33"
"2021-12-27","C01LCYB3SK","Erb Yuza Double Lotion 190ml","0.00",0,3,"0.00"
"2022-02-27","C07DRQ97FN","Erb - Bamboo Glow - Crème Hydratante, Effet Bonne Mine - Soin à Effet “Rosée”  - 30ml","28.20",2,37,"0.03"
"2021-12-26","C06XRWVV79","Erb Glow Cream Illuminating Ultra-Radiant Effect, 45 ml","0.00",0,0,NULL
"2021-12-27","C06XRWVV79","Erb Glow Cream Illuminating Ultra-Radiant Effect, 45 ml","20.79",1,2,"0.00"
"2022-02-28","C07DRQ97FN","Erb - Bamboo Glow - Crème Hydratante, Effet Bonne Mine - Soin à Effet “Rosée”  - 30ml","28.30",2,29,"0.10"
"2021-12-26","C06XS1GS7L","Erb Glow Cream Illuminating Ultra-Radiant Effect, 15 ml","8.99",1,14,"0.07"
"2021-12-27","C06XS1GS7L","Erb Glow Cream Illuminating Ultra-Radiant Effect, 15 ml","17.98",2,14,"0.14"
"2022-03-01","C07DRQ97FN","Erb - Bamboo Glow - Crème Hydratante, Effet Bonne Mine - Soin à Effet “Rosée”  - 30ml","42.20",3,31,"0.03"
"2021-12-26","C075JJZCVH","Erb Black Purifying Face Soap with Charcoal, 75 g","0.00",0,0,NULL
"2022-03-02","C07DRQ97FN","Erb - Bamboo Glow - Crème Hydratante, Effet Bonne Mine - Soin à Effet “Rosée”  - 30ml","14.15",1,26,"0.08"
"2021-12-26","C079DWV7GB","Erb BB Shot Mask","0.00",0,0,NULL
"2022-03-03","C07DRQ97FN","Erb - Bamboo Glow - Crème Hydratante, Effet Bonne Mine - Soin à Effet “Rosée”  - 30ml","14.15",1,30,"0.00"
"2021-12-26","C07C8HGYBW","Erb Matte Cream Mattifying Primer, 45 ml","0.00",0,0,NULL
"2021-12-26","C07CYSL86Y","Erb Matte Cream Mattifying Primer, 15 ml","8.99",1,5,"0.20"
"2021-12-27","C07CYSL86Y","Erb Matte Cream Mattifying Primer, 15 ml","0.00",0,5,"0.00"
"2022-03-04","C07DRQ97FN","Erb - Bamboo Glow - Crème Hydratante, Effet Bonne Mine - Soin à Effet “Rosée”  - 30ml","14.15",1,22,"0.05"
"2021-12-26","C07DRQ97FN","Bamboo Glow Moisturiser - Silky & Glow Effect Moisturiser - 30ml","0.00",0,0,NULL
"2021-12-27","C07DRQ97FN","Bamboo Glow Moisturiser - Silky & Glow Effect Moisturiser - 30ml","0.00",0,0,"0.00"
"2021-12-26","C07J3NXV3W","Erb Double Mousse Cleanser, 145 ml","0.00",0,0,NULL
"2021-12-27","C07J3NXV3W","Erb Double Mousse Cleanser, 145 ml","0.00",0,2,"0.50"
"2021-12-26","C07JJP53WY","Erb Cleansing Water with 7 HERBS, 190 ml","0.00",0,0,NULL
"2021-12-26","C07JM4MS7H","CC Red Correct with Centella Asiatica - Colour Corrector and Anti Redness Cream for Face - 45ml","65.73",3,25,"0.12"
"2021-12-27","C07JM4MS7H","CC Red Correct with Centella Asiatica - Colour Corrector and Anti Redness Cream for Face - 45ml","87.64",4,30,"0.07"
"2021-12-26","C07LGCGG6R","Erb CC Cream with Centella Asiatica - Skin Perfector Tinted Moisturiser and High Definition Radiance Face Cream - Korean Skincare Cream Fair Shade SPF 25 - CC Cream Doré - 45ml","60.67",6,36,"0.17"
"2021-12-27","C07LGCGG6R","Erb CC Cream with Centella Asiatica - Skin Perfector Tinted Moisturiser and High Definition Radiance Face Cream - Korean Skincare Cream Fair Shade SPF 25 - CC Cream Doré - 45ml","40.45",4,54,"0.13"
"2022-02-27","C07DWZ9FFR","Erb - Black Cleansing Oil - Huile Démaquillante Purifiante au Charbon -  - 190ml","25.00",2,18,"0.11"
"2021-12-26","C07P8HVW5B","Erb CC Eye Doré, 10 ml","0.00",0,8,"0.00"
"2021-12-27","C07P8HVW5B","Erb CC Eye Doré, 10 ml","0.00",0,0,"0.00"
"2021-12-26","C07P8HWBV8","Erb CC Eye Clair, 10 ml","0.00",0,27,"0.04"
"2021-12-27","C07P8HWBV8","Erb CC Eye Clair, 10 ml","19.10",1,22,"0.05"
"2022-02-28","C07DWZ9FFR","Erb - Black Cleansing Oil - Huile Démaquillante Purifiante au Charbon -  - 190ml","12.50",1,19,"0.05"
"2021-12-26","C081TNLGBW","Erb Glow Shot Mask 15g","0.00",0,0,NULL
"2021-12-26","C082MQX14W","Erb CC DULL Correct 15ml","30.34",3,8,"0.13"
"2021-12-27","C082MQX14W","Erb CC DULL Correct 15ml","30.34",3,21,"0.19"
"2022-03-01","C07DWZ9FFR","Erb - Black Cleansing Oil - Huile Démaquillante Purifiante au Charbon -  - 190ml","12.50",1,13,"0.00"
"2021-12-26","C083TX6VBG","Erb CC DULL Correct 45ml","0.00",0,0,NULL
"2021-12-27","C083TX6VBG","Erb CC DULL Correct 45ml","0.00",0,0,"0.00"
"2022-03-02","C07DWZ9FFR","Erb - Black Cleansing Oil - Huile Démaquillante Purifiante au Charbon -  - 190ml","0.00",0,0,"0.00"
"2021-12-26","C085385KV6","Erb It's Glow Time!","0.00",0,3,"0.33"
"2021-12-27","C085385KV6","Erb It's Glow Time!","10.11",1,1,"0.00"
"2022-03-03","C07DWZ9FFR","Erb - Black Cleansing Oil - Huile Démaquillante Purifiante au Charbon -  - 190ml","0.00",0,0,"0.00"
"2021-12-26","C0858W14SZ","Erb BB Crayon Nude 3 g","0.00",0,2,"0.00"
"2021-12-27","C0858W14SZ","Erb BB Crayon Nude 3 g","12.92",1,4,"0.00"
"2022-03-04","C07DWZ9FFR","Erb - Black Cleansing Oil - Huile Démaquillante Purifiante au Charbon -  - 190ml","0.00",0,0,"0.00"
"2022-02-27","C07J3NXV3W","Double Mousse Visage aux 7 Herbes - Mousse Nettoyante  - 145ml","27.00",2,13,"0.15"
"2021-12-26","C08596KXLW","Erb BB Crayon Clair 3 g","0.00",0,3,"0.33"
"2021-12-27","C08596KXLW","Erb BB Crayon Clair 3 g","25.84",2,5,"0.00"
"2022-02-28","C07J3NXV3W","Double Mousse Visage aux 7 Herbes - Mousse Nettoyante  - 145ml","27.00",2,22,"0.09"
